,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
自動,,,,,手動,自動,手動,手動,手動,手動,手動,自動,shopee,自動
SKU,Order no.,仕入れ日,仕入れ先,仕入れ金額（送料込）,品目,商品名,付属品,状態,備考,写真,出品日,販売日,販売先,販売金額
20260318_machida_ph_01_4,260413NHXW45P1,2026/4/13,Amazon,"¥10,561 ",ラジコン,Tamiya 1/10 Electric RC Car Series No.571 Porsche 911 Carrera RSR (TT-02 Chassis) On-Road 58571 [New] [Authentic] [Shipped from Japan],,新品,,Amazon Photos,2026/03/18,2026/4/13,shopee,"₱6,441.00"
20260219_koyanagi_02,260414Q56321K7,2026/4/14,SOUND HOUSE,"¥12,980 ",電化製品,SONY Studio monitor headphones MDR-7506,,新品,,Amazon Photos,2026/02/19,2026/4/14,shopee,SGD153.62
 20260323_machida_ph_02,260415SQXRVU7D,2026/4/15,Joshin,"¥23,800 ",ラジコン,Authentic Tamiya 1/14 Electric RC Car Series No.672 Monster Beetle Trail (GF-01TR Chassis) 58672,,新品,,Amazon Photos,2026/03/23,2026/4/15,shopee,"₱9,961.00"
20260410_miyawaki_ph_01,260415TRAD1NAV,2026/4/16,yahooフリマ,"¥7,600 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/15,shopee,"₱4,823.00"
20260415_miyawaki_ph_03 ,260415TSQ9AE0W,2026/4/15,yahooフリマ,"¥6,900 ",フィギュア,Ichiban Kuji Frieren: Beyond Journey's End Frieren Prize A Figure,,新品,,Amazon Photos,2026/04/15,2026/4/15,shopee,"₱4,306.00"
20260123_machida_ph_04_4,260415TT09B9XA,,,仕入れ無,,Tamiya 1/10 Electric RC Car Series No.242 Wild Willy 2 Off-Road 58242,,新品,,Amazon Photos,,2026/4/15,shopee,"₱7,234.00"
20260407_mizushima_ph_01,260415V3TPTBGN,2026/4/16,楽天市場（メディアワールド）,"¥9,123 ",プラモデル,BANDAI SPIRITS MG 1/100 Justice Gundam [CROSS CONTRAST COLORS / CLEAR GREEN] Gundam Base Event Limited Edition,,新品,,Amazon Photos,2026/04/07,2026/4/16,shopee,"₱5,415.00"
20260410_miyawaki_ph_01_2,2604171MTQ5J22,2026/4/17,yahooフリマ,"¥7,500 ",フィギュア,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,2026/04/10,2026/4/17,shopee,"₱4,823.00"
20260410_miyawaki_ph_01_3,2604185A4WFU61,,,仕入れ無,,Ichiban Kuji Yu Yu Hakusho Dark Tournament Vol. 3 Last One Prize: Youko Kurama MASTERLIZED Figure,,新品,,Amazon Photos,,2026/4/20,shopee,"₱4,823.00"
20260409_machida_ph_01_2,2604197RQ772N8,2026/4/20,Joshin（A）,"¥8,800 ",ラジコン,[Direct From Japan] 1/12 Scale Electric RC Assembly Kit: Midnight Pumpkin Metallic Special,,新品,,Amazon Photos,2026/04/09,2026/4/19,shopee,"₱5,638.00"
